row,name,acronym,id,atlas_id,parent_structure_id,parent_name,parent_acronym,voxels_in_structure
0,root,root,997,-1,,,,227252
1,Basic cell groups and regions,grey,8,0,997,root,root,0
2,Cerebrum,CH,567,70,8,Basic cell groups and regions,grey,0
3,Cerebral cortex,CTX,688,85,567,Cerebrum,CH,0
4,Cortical plate,CTXpl,695,86,688,Cerebral cortex,CTX,0
5,Isocortex,Isocortex,315,746,695,Cortical plate,CTXpl,0
6,"Frontal pole, cerebral cortex",FRP,184,871,315,Isocortex,Isocortex,0
7,"Frontal pole, layer 1",FRP1,68,998,184,"Frontal pole, cerebral cortex",FRP,16219
8,"Frontal pole, layer 2/3",FRP2/3,667,1073,184,"Frontal pole, cerebral cortex",FRP,14978
9,"Frontal pole, layer 5",FRP5,526157192,,184,,,0
10,"Frontal pole, layer 6a",FRP6a,526157196,,184,,,0
11,"Frontal pole, layer 6b",FRP6b,526322264,,184,,,0
12,Somatomotor areas,MO,500,203,315,Isocortex,Isocortex,0
13,"Somatomotor areas, Layer 1",MO1,107,1003,500,Somatomotor areas,MO,0
14,"Somatomotor areas, Layer 2/3",MO2/3,219,1017,500,Somatomotor areas,MO,0
15,"Somatomotor areas, Layer 5",MO5,299,1027,500,Somatomotor areas,MO,0
16,"Somatomotor areas, Layer 6a",MO6a,644,787,500,Somatomotor areas,MO,0
17,"Somatomotor areas, Layer 6b",MO6b,947,825,500,Somatomotor areas,MO,0
18,Primary motor area,MOp,985,830,500,Somatomotor areas,MO,0
19,"Primary motor area, Layer 1",MOp1,320,888,985,Primary motor area,MOp,85116
20,"Primary motor area, Layer 2/3",MOp2/3,943,966,985,Primary motor area,MOp,236101
21,"Primary motor area, Layer 5",MOp5,648,929,985,Primary motor area,MOp,209457
22,"Primary motor area, Layer 6a",MOp6a,844,1095,985,Primary motor area,MOp,184072
23,"Primary motor area, Layer 6b",MOp6b,882,1100,985,Primary motor area,MOp,11852
24,Secondary motor area,MOs,993,831,500,Somatomotor areas,MO,0
25,"Secondary motor area, layer 1",MOs1,656,930,993,Secondary motor area,MOs,148747
26,"Secondary motor area, layer 2/3",MOs2/3,962,1110,993,Secondary motor area,MOs,243488
27,"Secondary motor area, layer 5",MOs5,767,944,993,Secondary motor area,MOs,289459
28,"Secondary motor area, layer 6a",MOs6a,1021,1117,993,Secondary motor area,MOs,152198
29,"Secondary motor area, layer 6b",MOs6b,1085,1125,993,Secondary motor area,MOs,4786
30,Somatosensory areas,SS,453,339,315,Isocortex,Isocortex,0
31,"Somatosensory areas, layer 1",SS1,12993,,453,,,0
32,"Somatosensory areas, layer 2/3",SS2/3,12994,,453,,,0
33,"Somatosensory areas, layer 4",SS4,12995,,453,,,0
34,"Somatosensory areas, layer 5",SS5,12996,,453,,,0
35,"Somatosensory areas, layer 6a",SS6a,12997,,453,,,0
36,"Somatosensory areas, layer 6b",SS6b,12998,,453,,,0
37,Primary somatosensory area,SSp,322,747,453,Somatosensory areas,SS,0
38,"Primary somatosensory area, layer 1",SSp1,793,1089,322,Primary somatosensory area,SSp,0
39,"Primary somatosensory area, layer 2/3",SSp2/3,346,1033,322,Primary somatosensory area,SSp,0
40,"Primary somatosensory area, layer 4",SSp4,865,1098,322,Primary somatosensory area,SSp,0
41,"Primary somatosensory area, layer 5",SSp5,921,1105,322,Primary somatosensory area,SSp,0
42,"Primary somatosensory area, layer 6a",SSp6a,686,934,322,Primary somatosensory area,SSp,0
43,"Primary somatosensory area, layer 6b",SSp6b,719,938,322,Primary somatosensory area,SSp,0
44,"Primary somatosensory area, nose",SSp-n,353,751,322,Primary somatosensory area,SSp,0
45,"Primary somatosensory area, nose, layer 1",SSp-n1,558,635,353,"Primary somatosensory area, nose",SSp-n,25941
46,"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,838,953,353,"Primary somatosensory area, nose",SSp-n,40982
47,"Primary somatosensory area, nose, layer 4",SSp-n4,654,647,353,"Primary somatosensory area, nose",SSp-n,35076
48,"Primary somatosensory area, nose, layer 5",SSp-n5,702,653,353,"Primary somatosensory area, nose",SSp-n,36290
49,"Primary somatosensory area, nose, layer 6a",SSp-n6a,889,1101,353,"Primary somatosensory area, nose",SSp-n,51512
50,"Primary somatosensory area, nose, layer 6b",SSp-n6b,929,1106,353,"Primary somatosensory area, nose",SSp-n,3432
51,"Primary somatosensory area, barrel field",SSp-bfd,329,748,322,Primary somatosensory area,SSp,0
52,"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,981,971,329,"Primary somatosensory area, barrel field",SSp-bfd,53686
53,"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,201,1015,329,"Primary somatosensory area, barrel field",SSp-bfd,97044
54,"Primary somatosensory area, barrel field, layer 4",SSp-bfd4,1047,979,329,"Primary somatosensory area, barrel field",SSp-bfd,82089
55,"Primary somatosensory area, barrel field, layer 5",SSp-bfd5,1070,982,329,"Primary somatosensory area, barrel field",SSp-bfd,77323
56,"Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a,1038,978,329,"Primary somatosensory area, barrel field",SSp-bfd,83045
57,"Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b,1062,981,329,"Primary somatosensory area, barrel field",SSp-bfd,9389
58,Rostrolateral lateral visual area,VISrll,480149202,,329,,,0
59,"Rostrolateral lateral visual area, layer 1",VISrll1,480149206,,480149202,,,0
60,"Rostrolateral lateral visual area, layer 2/3",VISrll2/3,480149210,,480149202,,,0
61,"Rostrolateral lateral visual area, layer 4",VISrll4,480149214,,480149202,,,0
62,"Rostrolateral lateral visual area,layer 5",VISrll5,480149218,,480149202,,,0
63,"Rostrolateral lateral visual area, layer 6a",VISrll6a,480149222,,480149202,,,0
64,"Rostrolateral lateral visual area, layer 6b",VISrll6b,480149226,,480149202,,,0
65,"Primary somatosensory area, lower limb",SSp-ll,337,749,322,Primary somatosensory area,SSp,0
66,"Primary somatosensory area, lower limb, layer 1",SSp-ll1,1030,977,337,"Primary somatosensory area, lower limb",SSp-ll,19151
67,"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3,113,1004,337,"Primary somatosensory area, lower limb",SSp-ll,41382
68,"Primary somatosensory area, lower limb, layer 4",SSp-ll4,1094,985,337,"Primary somatosensory area, lower limb",SSp-ll,17474
69,"Primary somatosensory area, lower limb, layer 5",SSp-ll5,1128,989,337,"Primary somatosensory area, lower limb",SSp-ll,35564
70,"Primary somatosensory area, lower limb, layer 6a",SSp-ll6a,478,625,337,"Primary somatosensory area, lower limb",SSp-ll,33771
71,"Primary somatosensory area, lower limb, layer 6b",SSp-ll6b,510,629,337,"Primary somatosensory area, lower limb",SSp-ll,3223
72,"Primary somatosensory area, mouth",SSp-m,345,750,322,Primary somatosensory area,SSp,0
73,"Primary somatosensory area, mouth, layer 1",SSp-m1,878,958,345,"Primary somatosensory area, mouth",SSp-m,50090
74,"Primary somatosensory area, mouth, layer 2/3",SSp-m2/3,657,1072,345,"Primary somatosensory area, mouth",SSp-m,95921
75,"Primary somatosensory area, mouth, layer 4",SSp-m4,950,967,345,"Primary somatosensory area, mouth",SSp-m,60615
76,"Primary somatosensory area, mouth, layer 5",SSp-m5,974,970,345,"Primary somatosensory area, mouth",SSp-m,77950
77,"Primary somatosensory area, mouth, layer 6a",SSp-m6a,1102,986,345,"Primary somatosensory area, mouth",SSp-m,105706
78,"Primary somatosensory area, mouth, layer 6b",SSp-m6b,2,990,345,"Primary somatosensory area, mouth",SSp-m,7339
79,"Primary somatosensory area, upper limb",SSp-ul,369,753,322,Primary somatosensory area,SSp,0
80,"Primary somatosensory area, upper limb, layer 1",SSp-ul1,450,1046,369,"Primary somatosensory area, upper limb",SSp-ul,29562
81,"Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3,854,955,369,"Primary somatosensory area, upper limb",SSp-ul,62626
82,"Primary somatosensory area, upper limb, layer 4",SSp-ul4,577,1062,369,"Primary somatosensory area, upper limb",SSp-ul,33490
83,"Primary somatosensory area, upper limb, layer 5",SSp-ul5,625,1068,369,"Primary somatosensory area, upper limb",SSp-ul,50676
84,"Primary somatosensory area, upper limb, layer 6a",SSp-ul6a,945,1108,369,"Primary somatosensory area, upper limb",SSp-ul,60229
85,"Primary somatosensory area, upper limb, layer 6b",SSp-ul6b,1026,1118,369,"Primary somatosensory area, upper limb",SSp-ul,4753
86,"Primary somatosensory area, trunk",SSp-tr,361,752,322,Primary somatosensory area,SSp,0
87,"Primary somatosensory area, trunk, layer 1",SSp-tr1,1006,974,361,"Primary somatosensory area, trunk",SSp-tr,13081
88,"Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3,670,649,361,"Primary somatosensory area, trunk",SSp-tr,27121
89,"Primary somatosensory area, trunk, layer 4",SSp-tr4,1086,984,361,"Primary somatosensory area, trunk",SSp-tr,9766
90,"Primary somatosensory area, trunk, layer 5",SSp-tr5,1111,987,361,"Primary somatosensory area, trunk",SSp-tr,22607
91,"Primary somatosensory area, trunk, layer 6a",SSp-tr6a,9,991,361,"Primary somatosensory area, trunk",SSp-tr,14877
92,"Primary somatosensory area, trunk, layer 6b",SSp-tr6b,461,623,361,"Primary somatosensory area, trunk",SSp-tr,2195
93,"Primary somatosensory area, unassigned",SSp-un,182305689,,322,,,0
94,"Primary somatosensory area, unassigned, layer 1",SSp-un1,182305693,,182305689,,,0
95,"Primary somatosensory area, unassigned, layer 2/3",SSp-un2/3,182305697,,182305689,,,0
96,"Primary somatosensory area, unassigned, layer 4",SSp-un4,182305701,,182305689,,,0
97,"Primary somatosensory area, unassigned, layer 5",SSp-un5,182305705,,182305689,,,0
98,"Primary somatosensory area, unassigned, layer 6a",SSp-un6a,182305709,,182305689,,,0
99,"Primary somatosensory area, unassigned, layer 6b",SSp-un6b,182305713,,182305689,,,0
100,Supplemental somatosensory area,SSs,378,754,453,Somatosensory areas,SS,0
101,"Supplemental somatosensory area, layer 1",SSs1,873,1099,378,Supplemental somatosensory area,SSs,79837
