Unknown,name,acronym,id,atlas_id,parent_structure_id,parent_name,parent_acronym,voxels_in_structure,cell_count
775,"Tuberomammillary nucleus, ventral part",TMv,1,424,557,Tuberomammillary nucleus,TM,13542,0
78,"Primary somatosensory area, mouth, layer 6b",SSp-m6b,2,990,345,"Primary somatosensory area, mouth",SSp-m,9621,0
1317,secondary fissure,sec,3,707,1040,grooves of the cerebellar cortex,grv of CBX,0,0
812,Inferior colliculus,IC,4,141,339,"Midbrain, sensory related",MBsen,22705,0
1202,internal capsule,int,6,566,784,corticospinal tract,cst,176771,0
889,Principal sensory nucleus of the trigeminal,PSV,7,283,1132,"Pons, sensory related",P-sen,77756,0
1,Basic cell groups and regions,grey,8,0,997,root,root,0,0
91,"Primary somatosensory area, trunk, layer 6a",SSp-tr6a,9,991,361,"Primary somatosensory area, trunk",SSp-tr,34777,0
834,"Superior colliculus, motor related, intermediate gray layer",SCig,10,425,294,"Superior colliculus, motor related",SCm,192498,0
1318,posterolateral fissure,plf,11,708,1040,grooves of the cerebellar cortex,grv of CBX,0,0
869,Interfascicular nucleus raphe,IF,12,142,165,Midbrain raphe nuclei,RAmb,7711,0
1214,internal medullary lamina of the thalamus,im,14,567,896,thalamus related,lfbst,0,0
693,Parataenial nucleus,PT,15,284,571,Midline group of the dorsal thalamus,MTN,26351,0
556,"Layer 6b, isocortex",6b,16,1,703,Cortical subplate,CTXsp,0,0
833,"Superior colliculus, motor related, intermediate white layer",SCiw,17,426,294,"Superior colliculus, motor related",SCm,194194,0
1319,nodular fissure,nf,18,709,1040,grooves of the cerebellar cortex,grv of CBX,0,0
491,Induseum griseum,IG,19,143,1080,Hippocampal region,HIP,11119,0
496,"Entorhinal area, lateral part, layer 2",ENTl2,20,992,918,"Entorhinal area, lateral part",ENTl,155965,0
1108,"lateral olfactory tract, general",lotg,21,568,840,olfactory nerve,In,0,0
339,Posterior parietal association areas,PTLp,22,285,315,Isocortex,Isocortex,0,0
593,Anterior amygdalar area,AAA,23,2,278,Striatum-like amygdalar nuclei,sAMY,53782,0
1320,simplex fissure,sif,25,710,1040,grooves of the cerebellar cortex,grv of CBX,0,0
831,"Superior colliculus, motor related, deep gray layer",SCdg,26,427,294,"Superior colliculus, motor related",SCm,106176,0
705,Intergeniculate leaflet of the lateral geniculate complex,IGL,27,144,1014,"Geniculate group, ventral thalamus",GENv,6488,0
505,"Entorhinal area, lateral part, layer 6a",ENTl6a,28,993,918,"Entorhinal area, lateral part",ENTl,101409,0
1162,lateral spinothalamic tract,sttl,29,569,871,spinothalamic tract,sst,0,0
731,"Periventricular hypothalamic nucleus, anterior part",PVa,30,286,157,Periventricular zone,PVZ,4814,0
220,Anterior cingulate area,ACA,31,3,315,Isocortex,Isocortex,0,0
190,"Primary visual area, layer 6a",VISp6a,33,428,385,Primary visual area,VISp,116376,0
1321,intercrural fissure,icf,34,711,1040,grooves of the cerebellar cortex,grv of CBX,0,0
854,Oculomotor nucleus,III,35,145,323,"Midbrain, motor related",MBmot,3413,0
108,"Gustatory areas, layer 1",GU1,36,994,1057,Gustatory areas,GU,20968,0
1259,longitudinal association bundle,lab,37,570,768,cerebrum related,mfbc,0,0
720,Paraventricular hypothalamic nucleus,PVH,38,287,157,Periventricular zone,PVZ,22156,0
226,"Anterior cingulate area, dorsal part",ACAd,39,4,31,Anterior cingulate area,ACA,0,0
201,"posteromedial visual area, layer 2/3",VISpm2/3,41,995,533,posteromedial visual area,VISpm,24419,0
832,"Superior colliculus, motor related, deep white layer",SCdw,42,429,294,"Superior colliculus, motor related",SCm,29573,0
1322,ansoparamedian fissure,apf,43,712,1040,grooves of the cerebellar cortex,grv of CBX,0,0
245,Infralimbic area,ILA,44,146,315,Isocortex,Isocortex,0,0
960,"Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part",SPVOrdm,45,854,445,"Spinal nucleus of the trigeminal, oral part",SPVO,0,0
1278,mammillary related,mfbsma,46,571,824,hypothalamus related,mfsbshy,0,0
722,"Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part",PVHam,47,288,71,"Paraventricular hypothalamic nucleus, magnocellular division",PVHm,0,0
232,"Anterior cingulate area, ventral part",ACAv,48,5,31,Anterior cingulate area,ACA,0,0
1323,intraparafloccular fissure,ipf,49,713,1040,grooves of the cerebellar cortex,grv of CBX,0,0
839,Precommissural nucleus,PRC,50,430,795,Periaqueductal gray,PAG,17043,0
696,Intralaminar nuclei of the dorsal thalamus,ILM,51,147,856,"Thalamus, polymodal association cortex related",DORpm,0,0
500,"Entorhinal area, lateral part, layer 3",ENTl3,52,996,918,"Entorhinal area, lateral part",ENTl,126845,0
958,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone",SPVOmdmd,53,855,445,"Spinal nucleus of the trigeminal, oral part",SPVO,0,0
1263,medial forebrain bundle,mfb,54,572,824,hypothalamus related,mfsbshy,4433,0
728,"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part",PVHap,55,289,94,"Paraventricular hypothalamic nucleus, parvicellular division",PVHp,0,0
575,Nucleus accumbens,ACB,56,6,493,Striatum ventral region,STRv,426046,0
1324,paramedian sulcus,pms,57,714,1040,grooves of the cerebellar cortex,grv of CBX,0,0
863,Medial terminal nucleus of the accessory optic tract,MT,58,431,323,"Midbrain, motor related",MBmot,3583,0
684,Intermediodorsal nucleus of the thalamus,IMD,59,148,444,Medial group of the dorsal thalamus,MED,15766,0
506,"Entorhinal area, lateral part, layer 6b",ENTl6b,60,997,918,"Entorhinal area, lateral part",ENTl,0,0
959,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone",SPVOmdmv,61,856,445,"Spinal nucleus of the trigeminal, oral part",SPVO,0,0
1121,medial longitudinal fascicle,mlf,62,573,832,oculomotor nerve,IIIn,15130,0
782,"Paraventricular hypothalamic nucleus, descending division",PVHd,63,290,467,Hypothalamic medial zone,MEZ,14087,0
679,Anterodorsal nucleus,AD,64,7,239,Anterior group of the dorsal thalamus,ATN,21497,0
1325,parafloccular sulcus,pfs,65,715,1040,grooves of the cerebellar cortex,grv of CBX,0,0
861,Lateral terminal nucleus of the accessory optic tract,LT,66,432,323,"Midbrain, motor related",MBmot,1612,0
840,Interstitial nucleus of Cajal,INC,67,149,795,Periaqueductal gray,PAG,7198,0
7,"Frontal pole, layer 1",FRP1,68,998,184,"Frontal pole, cerebral cortex",FRP,28030,0
961,"Spinal nucleus of the trigeminal, oral part, ventrolateral part",SPVOvl,69,857,445,"Spinal nucleus of the trigeminal, oral part",SPVO,0,0
1290,midbrain related,mfbsm,70,574,824,hypothalamus related,mfsbshy,0,0
721,"Paraventricular hypothalamic nucleus, magnocellular division",PVHm,71,291,38,Paraventricular hypothalamic nucleus,PVH,0,0
735,Anterodorsal preoptic nucleus,ADP,72,8,141,Periventricular region,PVR,12133,0
1293,ventricular systems,VS,73,716,997,root,root,27585,0
183,"Lateral visual area, layer 6a",VISl6a,74,999,409,Lateral visual area,VISl,22154,0
862,Dorsal terminal nucleus of the accessory optic tract,DT,75,433,323,"Midbrain, motor related",MBmot,1256,0
1009,Interstitial nucleus of the vestibular nerve,INV,76,150,370,"Medulla, motor related",MY-mot,0,0
957,"Spinal nucleus of the trigeminal, oral part, caudal dorsomedial part",SPVOcdm,77,858,445,"Spinal nucleus of the trigeminal, oral part",SPVO,0,0
1180,middle cerebellar peduncle,mcp,78,575,752,cerebellar peduncles,cbp,120939,0
723,"Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part",PVHmm,79,292,71,"Paraventricular hypothalamic nucleus, magnocellular division",PVHm,0,0
736,Anterior hypothalamic area,AHA,80,9,141,Periventricular region,PVR,0,0
1294,lateral ventricle,VL,81,717,73,ventricular systems,VS,284583,0
886,"Nucleus of the lateral lemniscus, dorsal part",NLLd,82,434,612,Nucleus of the lateral lemniscus,NLL,0,0
977,Inferior olivary complex,IO,83,151,370,"Medulla, motor related",MY-mot,39518,0
243,"Prelimbic area, layer 6a",PL6a,84,1000,972,Prelimbic area,PL,32419,0
1177,spinocerebellar tract,sct,85,859,812,superior cerebellar peduncle decussation,dscp,0,0
1215,middle thalamic commissure,mtc,86,576,896,thalamus related,lfbst,0,0
729,"Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone",PVHmpd,87,293,94,"Paraventricular hypothalamic nucleus, parvicellular division",PVHp,0,0
757,Anterior hypothalamic nucleus,AHN,88,10,467,Hypothalamic medial zone,MEZ,81915,0
1295,rhinocele,RC,89,718,81,lateral ventricle,VL,0,0
887,"Nucleus of the lateral lemniscus, horizontal part",NLLh,90,435,612,Nucleus of the lateral lemniscus,NLL,0,0
1099,Interposed nucleus,IP,91,152,519,Cerebellar nuclei,CBN,71505,0
501,"Entorhinal area, lateral part, layer 4",ENTl4,92,1001,918,"Entorhinal area, lateral part",ENTl,0,0
1127,motor root of the trigeminal nerve,moV,93,577,901,trigeminal nerve,Vn,9030,0
727,"Paraventricular hypothalamic nucleus, parvicellular division",PVHp,94,294,38,Paraventricular hypothalamic nucleus,PVH,0,0
278,Agranular insular area,AI,95,11,315,Isocortex,Isocortex,0,0
941,Dorsal cochlear nucleus,DCO,96,860,607,Cochlear nuclei,CN,47655,0
361,"Temporal association areas, layer 1",TEa1,97,1002,541,Temporal association areas,TEa,48452,0
1296,subependymal zone,SEZ,98,719,81,lateral ventricle,VL,15548,0
888,"Nucleus of the lateral lemniscus, ventral part",NLLv,99,436,612,Nucleus of the lateral lemniscus,NLL,0,0
870,Interpeduncular nucleus,IPN,100,153,165,Midbrain raphe nuclei,RAmb,1106,0
942,Ventral cochlear nucleus,VCO,101,861,607,Cochlear nuclei,CN,69432,0
1222,nigrostriatal tract,nst,102,578,760,cerebral nuclei related,epsc,8941,0
724,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part",PVHpm,103,295,71,"Paraventricular hypothalamic nucleus, magnocellular division",PVHm,0,0
279,"Agranular insular area, dorsal part",AId,104,12,95,Agranular insular area,AI,0,0
904,"Superior olivary complex, medial part",SOCm,105,437,398,Superior olivary complex,SOC,18908,0
979,Inferior salivatory nucleus,ISN,106,154,370,"Medulla, motor related",MY-mot,647,0
13,"Somatomotor areas, Layer 1",MO1,107,1003,500,Somatomotor areas,MO,0,0
1297,choroid plexus,chpl,108,720,81,lateral ventricle,VL,173376,0
1223,nigrothalamic fibers,ntt,109,579,760,cerebral nuclei related,epsc,0,0
730,"Paraventricular hypothalamic nucleus, parvicellular division, periventricular part",PVHpv,110,296,94,"Paraventricular hypothalamic nucleus, parvicellular division",PVHp,0,0
285,"Agranular insular area, posterior part",AIp,111,13,95,Agranular insular area,AI,0,0
939,Granular lamina of the cochlear nuclei,CNlam,112,862,607,Cochlear nuclei,CN,0,0
