,name,acronym,id,reassigned_id,parent_structure_id,parent_name,parent_acronym,fullname
775,"Tuberomammillary nucleus, ventral part",TMv,1,776,557.0,Tuberomammillary nucleus,TM,"TMv: Tuberomammillary nucleus, ventral part"
78,"Primary somatosensory area, mouth, layer 6b",SSp-m6b,2,79,345.0,"Primary somatosensory area, mouth",SSp-m,"SSp-m6b: Primary somatosensory area, mouth, layer 6b"
1316,secondary fissure,sec,3,1317,1040.0,grooves of the cerebellar cortex,grv of CBX,sec: secondary fissure
812,Inferior colliculus,IC,4,813,339.0,"Midbrain, sensory related",MBsen,IC: Inferior colliculus
1201,internal capsule,int,6,1202,784.0,corticospinal tract,cst,int: internal capsule
889,Principal sensory nucleus of the trigeminal,PSV,7,890,1132.0,"Pons, sensory related",P-sen,PSV: Principal sensory nucleus of the trigeminal
1,Basic cell groups and regions,grey,8,2,997.0,root,root,grey: Basic cell groups and regions
91,"Primary somatosensory area, trunk, layer 6a",SSp-tr6a,9,92,361.0,"Primary somatosensory area, trunk",SSp-tr,"SSp-tr6a: Primary somatosensory area, trunk, layer 6a"
834,"Superior colliculus, motor related, intermediate gray layer",SCig,10,835,294.0,"Superior colliculus, motor related",SCm,"SCig: Superior colliculus, motor related, intermediate gray layer"
1317,posterolateral fissure,plf,11,1318,1040.0,grooves of the cerebellar cortex,grv of CBX,plf: posterolateral fissure
869,Interfascicular nucleus raphe,IF,12,870,165.0,Midbrain raphe nuclei,RAmb,IF: Interfascicular nucleus raphe
1213,internal medullary lamina of the thalamus,im,14,1214,896.0,thalamus related,lfbst,im: internal medullary lamina of the thalamus
693,Parataenial nucleus,PT,15,694,571.0,Midline group of the dorsal thalamus,MTN,PT: Parataenial nucleus
556,"Layer 6b, isocortex",6b,16,557,703.0,Cortical subplate,CTXsp,"6b: Layer 6b, isocortex"
833,"Superior colliculus, motor related, intermediate white layer",SCiw,17,834,294.0,"Superior colliculus, motor related",SCm,"SCiw: Superior colliculus, motor related, intermediate white layer"
1318,nodular fissure,nf,18,1319,1040.0,grooves of the cerebellar cortex,grv of CBX,nf: nodular fissure
491,Induseum griseum,IG,19,492,1080.0,Hippocampal region,HIP,IG: Induseum griseum
496,"Entorhinal area, lateral part, layer 2",ENTl2,20,497,918.0,"Entorhinal area, lateral part",ENTl,"ENTl2: Entorhinal area, lateral part, layer 2"
1107,"lateral olfactory tract, general",lotg,21,1108,840.0,olfactory nerve,In,"lotg: lateral olfactory tract, general"
339,Posterior parietal association areas,PTLp,22,340,315.0,Isocortex,Isocortex,PTLp: Posterior parietal association areas
593,Anterior amygdalar area,AAA,23,594,278.0,Striatum-like amygdalar nuclei,sAMY,AAA: Anterior amygdalar area
1319,simple fissure,sif,25,1320,1040.0,grooves of the cerebellar cortex,grv of CBX,sif: simple fissure
831,"Superior colliculus, motor related, deep gray layer",SCdg,26,832,294.0,"Superior colliculus, motor related",SCm,"SCdg: Superior colliculus, motor related, deep gray layer"
705,Intergeniculate leaflet of the lateral geniculate complex,IGL,27,706,1014.0,"Geniculate group, ventral thalamus",GENv,IGL: Intergeniculate leaflet of the lateral geniculate complex
505,"Entorhinal area, lateral part, layer 6a",ENTl6a,28,506,918.0,"Entorhinal area, lateral part",ENTl,"ENTl6a: Entorhinal area, lateral part, layer 6a"
1161,lateral spinothalamic tract,sttl,29,1162,871.0,spinothalamic tract,sst,sttl: lateral spinothalamic tract
731,"Periventricular hypothalamic nucleus, anterior part",PVa,30,732,157.0,Periventricular zone,PVZ,"PVa: Periventricular hypothalamic nucleus, anterior part"
220,Anterior cingulate area,ACA,31,221,315.0,Isocortex,Isocortex,ACA: Anterior cingulate area
190,"Primary visual area, layer 6a",VISp6a,33,191,385.0,Primary visual area,VISp,"VISp6a: Primary visual area, layer 6a"
1320,intercrural fissure,icf,34,1321,1040.0,grooves of the cerebellar cortex,grv of CBX,icf: intercrural fissure
854,Oculomotor nucleus,III,35,855,323.0,"Midbrain, motor related",MBmot,III: Oculomotor nucleus
108,"Gustatory areas, layer 1",GU1,36,109,1057.0,Gustatory areas,GU,"GU1: Gustatory areas, layer 1"
1258,longitudinal association bundle,lab,37,1259,768.0,cerebrum related,mfbc,lab: longitudinal association bundle
720,Paraventricular hypothalamic nucleus,PVH,38,721,157.0,Periventricular zone,PVZ,PVH: Paraventricular hypothalamic nucleus
226,"Anterior cingulate area, dorsal part",ACAd,39,227,31.0,Anterior cingulate area,ACA,"ACAd: Anterior cingulate area, dorsal part"
201,"posteromedial visual area, layer 2/3",VISpm2/3,41,202,533.0,posteromedial visual area,VISpm,"VISpm2/3: posteromedial visual area, layer 2/3"
832,"Superior colliculus, motor related, deep white layer",SCdw,42,833,294.0,"Superior colliculus, motor related",SCm,"SCdw: Superior colliculus, motor related, deep white layer"
1321,ansoparamedian fissure,apf,43,1322,1040.0,grooves of the cerebellar cortex,grv of CBX,apf: ansoparamedian fissure
245,Infralimbic area,ILA,44,246,315.0,Isocortex,Isocortex,ILA: Infralimbic area
960,"Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part",SPVOrdm,45,961,445.0,"Spinal nucleus of the trigeminal, oral part",SPVO,"SPVOrdm: Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part"
1277,mammillary related,mfbsma,46,1278,824.0,hypothalamus related,mfsbshy,mfbsma: mammillary related
722,"Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part",PVHam,47,723,71.0,"Paraventricular hypothalamic nucleus, magnocellular division",PVHm,"PVHam: Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part"
232,"Anterior cingulate area, ventral part",ACAv,48,233,31.0,Anterior cingulate area,ACA,"ACAv: Anterior cingulate area, ventral part"
1322,intraparafloccular fissure,ipf,49,1323,1040.0,grooves of the cerebellar cortex,grv of CBX,ipf: intraparafloccular fissure
839,Precommissural nucleus,PRC,50,840,795.0,Periaqueductal gray,PAG,PRC: Precommissural nucleus
696,Intralaminar nuclei of the dorsal thalamus,ILM,51,697,856.0,"Thalamus, polymodal association cortex related",DORpm,ILM: Intralaminar nuclei of the dorsal thalamus
500,"Entorhinal area, lateral part, layer 3",ENTl3,52,501,918.0,"Entorhinal area, lateral part",ENTl,"ENTl3: Entorhinal area, lateral part, layer 3"
958,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone",SPVOmdmd,53,959,445.0,"Spinal nucleus of the trigeminal, oral part",SPVO,"SPVOmdmd: Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone"
1262,medial forebrain bundle,mfb,54,1263,824.0,hypothalamus related,mfsbshy,mfb: medial forebrain bundle
728,"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part",PVHap,55,729,94.0,"Paraventricular hypothalamic nucleus, parvicellular division",PVHp,"PVHap: Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part"
575,Nucleus accumbens,ACB,56,576,493.0,Striatum ventral region,STRv,ACB: Nucleus accumbens
1323,paramedian sulcus,pms,57,1324,1040.0,grooves of the cerebellar cortex,grv of CBX,pms: paramedian sulcus
863,Medial terminal nucleus of the accessory optic tract,MT,58,864,323.0,"Midbrain, motor related",MBmot,MT: Medial terminal nucleus of the accessory optic tract
684,Intermediodorsal nucleus of the thalamus,IMD,59,685,444.0,Medial group of the dorsal thalamus,MED,IMD: Intermediodorsal nucleus of the thalamus
506,"Entorhinal area, lateral part, layer 6b",ENTl6b,60,507,918.0,"Entorhinal area, lateral part",ENTl,"ENTl6b: Entorhinal area, lateral part, layer 6b"
959,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone",SPVOmdmv,61,960,445.0,"Spinal nucleus of the trigeminal, oral part",SPVO,"SPVOmdmv: Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone"
1120,medial longitudinal fascicle,mlf,62,1121,832.0,oculomotor nerve,IIIn,mlf: medial longitudinal fascicle
782,"Paraventricular hypothalamic nucleus, descending division",PVHd,63,783,467.0,Hypothalamic medial zone,MEZ,"PVHd: Paraventricular hypothalamic nucleus, descending division"
679,Anterodorsal nucleus,AD,64,680,239.0,Anterior group of the dorsal thalamus,ATN,AD: Anterodorsal nucleus
1324,parafloccular sulcus,pfs,65,1325,1040.0,grooves of the cerebellar cortex,grv of CBX,pfs: parafloccular sulcus
861,Lateral terminal nucleus of the accessory optic tract,LT,66,862,323.0,"Midbrain, motor related",MBmot,LT: Lateral terminal nucleus of the accessory optic tract
840,Interstitial nucleus of Cajal,INC,67,841,795.0,Periaqueductal gray,PAG,INC: Interstitial nucleus of Cajal
7,"Frontal pole, layer 1",FRP1,68,8,184.0,"Frontal pole, cerebral cortex",FRP,"FRP1: Frontal pole, layer 1"
961,"Spinal nucleus of the trigeminal, oral part, ventrolateral part",SPVOvl,69,962,445.0,"Spinal nucleus of the trigeminal, oral part",SPVO,"SPVOvl: Spinal nucleus of the trigeminal, oral part, ventrolateral part"
1289,midbrain related,mfbsm,70,1290,824.0,hypothalamus related,mfsbshy,mfbsm: midbrain related
721,"Paraventricular hypothalamic nucleus, magnocellular division",PVHm,71,722,38.0,Paraventricular hypothalamic nucleus,PVH,"PVHm: Paraventricular hypothalamic nucleus, magnocellular division"
735,Anterodorsal preoptic nucleus,ADP,72,736,141.0,Periventricular region,PVR,ADP: Anterodorsal preoptic nucleus
1292,ventricular systems,VS,73,1293,997.0,root,root,VS: ventricular systems
183,"Lateral visual area, layer 6a",VISl6a,74,184,409.0,Lateral visual area,VISl,"VISl6a: Lateral visual area, layer 6a"
862,Dorsal terminal nucleus of the accessory optic tract,DT,75,863,323.0,"Midbrain, motor related",MBmot,DT: Dorsal terminal nucleus of the accessory optic tract
1009,Interstitial nucleus of the vestibular nerve,INV,76,1010,370.0,"Medulla, motor related",MY-mot,INV: Interstitial nucleus of the vestibular nerve
957,"Spinal nucleus of the trigeminal, oral part, caudal dorsomedial part",SPVOcdm,77,958,445.0,"Spinal nucleus of the trigeminal, oral part",SPVO,"SPVOcdm: Spinal nucleus of the trigeminal, oral part, caudal dorsomedial part"
1179,middle cerebellar peduncle,mcp,78,1180,752.0,cerebellar peduncles,cbp,mcp: middle cerebellar peduncle
723,"Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part",PVHmm,79,724,71.0,"Paraventricular hypothalamic nucleus, magnocellular division",PVHm,"PVHmm: Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part"
736,Anterior hypothalamic area,AHA,80,737,141.0,Periventricular region,PVR,AHA: Anterior hypothalamic area
1293,lateral ventricle,VL,81,1294,73.0,ventricular systems,VS,VL: lateral ventricle
886,"Nucleus of the lateral lemniscus, dorsal part",NLLd,82,887,612.0,Nucleus of the lateral lemniscus,NLL,"NLLd: Nucleus of the lateral lemniscus, dorsal part"
977,Inferior olivary complex,IO,83,978,370.0,"Medulla, motor related",MY-mot,IO: Inferior olivary complex
243,"Prelimbic area, layer 6a",PL6a,84,244,972.0,Prelimbic area,PL,"PL6a: Prelimbic area, layer 6a"
1176,spinocerebellar tract,sct,85,1177,812.0,superior cerebellar peduncle decussation,dscp,sct: spinocerebellar tract
1214,middle thalamic commissure,mtc,86,1215,896.0,thalamus related,lfbst,mtc: middle thalamic commissure
729,"Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone",PVHmpd,87,730,94.0,"Paraventricular hypothalamic nucleus, parvicellular division",PVHp,"PVHmpd: Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone"
757,Anterior hypothalamic nucleus,AHN,88,758,467.0,Hypothalamic medial zone,MEZ,AHN: Anterior hypothalamic nucleus
1294,rhinocele,RC,89,1295,81.0,lateral ventricle,VL,RC: rhinocele
887,"Nucleus of the lateral lemniscus, horizontal part",NLLh,90,888,612.0,Nucleus of the lateral lemniscus,NLL,"NLLh: Nucleus of the lateral lemniscus, horizontal part"
1098,Interposed nucleus,IP,91,1099,519.0,Cerebellar nuclei,CBN,IP: Interposed nucleus
501,"Entorhinal area, lateral part, layer 4",ENTl4,92,502,918.0,"Entorhinal area, lateral part",ENTl,"ENTl4: Entorhinal area, lateral part, layer 4"
1126,motor root of the trigeminal nerve,moV,93,1127,901.0,trigeminal nerve,Vn,moV: motor root of the trigeminal nerve
727,"Paraventricular hypothalamic nucleus, parvicellular division",PVHp,94,728,38.0,Paraventricular hypothalamic nucleus,PVH,"PVHp: Paraventricular hypothalamic nucleus, parvicellular division"
278,Agranular insular area,AI,95,279,315.0,Isocortex,Isocortex,AI: Agranular insular area
941,Dorsal cochlear nucleus,DCO,96,942,607.0,Cochlear nuclei,CN,DCO: Dorsal cochlear nucleus
361,"Temporal association areas, layer 1",TEa1,97,362,541.0,Temporal association areas,TEa,"TEa1: Temporal association areas, layer 1"
1295,subependymal zone,SEZ,98,1296,81.0,lateral ventricle,VL,SEZ: subependymal zone
888,"Nucleus of the lateral lemniscus, ventral part",NLLv,99,889,612.0,Nucleus of the lateral lemniscus,NLL,"NLLv: Nucleus of the lateral lemniscus, ventral part"
870,Interpeduncular nucleus,IPN,100,871,165.0,Midbrain raphe nuclei,RAmb,IPN: Interpeduncular nucleus
942,Ventral cochlear nucleus,VCO,101,943,607.0,Cochlear nuclei,CN,VCO: Ventral cochlear nucleus
1221,nigrostriatal tract,nst,102,1222,760.0,cerebral nuclei related,epsc,nst: nigrostriatal tract
724,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part",PVHpm,103,725,71.0,"Paraventricular hypothalamic nucleus, magnocellular division",PVHm,"PVHpm: Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part"
279,"Agranular insular area, dorsal part",AId,104,280,95.0,Agranular insular area,AI,"AId: Agranular insular area, dorsal part"
904,"Superior olivary complex, medial part",SOCm,105,905,398.0,Superior olivary complex,SOC,"SOCm: Superior olivary complex, medial part"
979,Inferior salivatory nucleus,ISN,106,980,370.0,"Medulla, motor related",MY-mot,ISN: Inferior salivatory nucleus
13,"Somatomotor areas, Layer 1",MO1,107,14,500.0,Somatomotor areas,MO,"MO1: Somatomotor areas, Layer 1"
1296,choroid plexus,chpl,108,1297,81.0,lateral ventricle,VL,chpl: choroid plexus
1222,nigrothalamic fibers,ntt,109,1223,760.0,cerebral nuclei related,epsc,ntt: nigrothalamic fibers
730,"Paraventricular hypothalamic nucleus, parvicellular division, periventricular part",PVHpv,110,731,94.0,"Paraventricular hypothalamic nucleus, parvicellular division",PVHp,"PVHpv: Paraventricular hypothalamic nucleus, parvicellular division, periventricular part"
285,"Agranular insular area, posterior part",AIp,111,286,95.0,Agranular insular area,AI,"AIp: Agranular insular area, posterior part"
939,Granular lamina of the cochlear nuclei,CNlam,112,940,607.0,Cochlear nuclei,CN,CNlam: Granular lamina of the cochlear nuclei
67,"Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3,113,68,337.0,"Primary somatosensory area, lower limb",SSp-ll,"SSp-ll2/3: Primary somatosensory area, lower limb, layer 2/3"
905,"Superior olivary complex, lateral part",SOCl,114,906,398.0,Superior olivary complex,SOC,"SOCl: Superior olivary complex, lateral part"
857,Trochlear nucleus,IV,115,858,323.0,"Midbrain, motor related",MBmot,IV: Trochlear nucleus
1297,choroid fissure,chfl,116,1298,81.0,lateral ventricle,VL,chfl: choroid fissure
1116,optic chiasm,och,117,1117,848.0,optic nerve,IIn,och: optic chiasm
732,"Periventricular hypothalamic nucleus, intermediate part",PVi,118,733,157.0,Periventricular zone,PVZ,"PVi: Periventricular hypothalamic nucleus, intermediate part"
291,"Agranular insular area, ventral part",AIv,119,292,95.0,Agranular insular area,AI,"AIv: Agranular insular area, ventral part"
286,"Agranular insular area, posterior part, layer 1",AIp1,120,287,111.0,"Agranular insular area, posterior part",AIp,"AIp1: Agranular insular area, posterior part, layer 1"
184,"Lateral visual area, layer 6b",VISl6b,121,185,409.0,Lateral visual area,VISl,"VISl6b: Lateral visual area, layer 6b"
903,"Superior olivary complex, periolivary region",POR,122,904,398.0,Superior olivary complex,SOC,"POR: Superior olivary complex, periolivary region"
891,Koelliker-Fuse subnucleus,KF,123,892,867.0,Parabrachial nucleus,PB,KF: Koelliker-Fuse subnucleus
1298,interventricular foramen,IVF,124,1299,73.0,ventricular systems,VS,IVF: interventricular foramen
1117,optic tract,opt,125,1118,848.0,optic nerve,IIn,opt: optic tract
749,"Periventricular hypothalamic nucleus, posterior part",PVp,126,750,141.0,Periventricular region,PVR,"PVp: Periventricular hypothalamic nucleus, posterior part"
676,Anteromedial nucleus,AM,127,677,239.0,Anterior group of the dorsal thalamus,ATN,AM: Anteromedial nucleus
826,Midbrain reticular nucleus,MRN,128,827,323.0,"Midbrain, motor related",MBmot,MRN: Midbrain reticular nucleus
1299,third ventricle,V3,129,1300,73.0,ventricular systems,VS,V3: third ventricle
927,"Superior central nucleus raphe, medial part",CSm,130,928,679.0,Superior central nucleus raphe,CS,"CSm: Superior central nucleus raphe, medial part"
561,Lateral amygdalar nucleus,LA,131,562,703.0,Cortical subplate,CTXsp,LA: Lateral amygdalar nucleus
244,"Prelimbic area, layer 6b",PL6b,132,245,972.0,Prelimbic area,PL,"PL6b: Prelimbic area, layer 6b"
